"sanders_preference","party","race_white","gender","birthyr"
1,2,1,1,1985
1,2,1,1,1993
1,1,1,1,1997
0,1,0,2,1991
0,1,0,1,1979
0,1,0,2,1982
0,2,0,2,1986
0,3,0,1,1986
1,2,1,2,1996
0,1,0,1,1965
0,3,1,2,1958
1,2,1,1,1982
NA,2,1,2,1992
0,1,1,2,1956
0,1,1,1,1989
0,1,0,2,1996
0,3,0,1,1974
0,1,0,1,1983
0,3,1,1,1988
1,2,0,2,1987
0,1,0,1,1996
0,2,1,2,1981
1,3,1,2,1965
0,1,0,1,1971
0,1,0,1,1960
0,2,1,1,1963
1,2,0,1,1989
1,1,1,1,1985
0,1,1,1,1991
1,1,1,1,1970
0,2,1,1,1952
1,3,1,2,1987
1,2,1,2,1962
0,2,0,2,1980
1,2,1,2,1965
1,1,1,1,1978
1,2,1,2,1951
0,2,1,1,1993
0,1,1,2,1976
0,2,1,2,1924
1,1,1,2,1953
1,1,0,1,1994
0,3,1,1,1969
1,2,1,1,1978
0,1,0,2,1990
1,3,1,1,1994
0,1,1,2,1992
1,3,1,2,1948
1,2,1,1,1991
0,2,0,2,1992
1,2,0,2,1996
1,2,1,1,1982
1,2,1,2,1983
1,2,1,2,1976
1,3,1,1,1984
0,3,1,2,1960
0,1,1,1,1953
1,1,1,2,1955
0,2,1,2,1977
0,1,1,1,1982
1,2,1,2,1981
1,3,1,1,1981
0,1,0,1,1978
0,3,0,2,1963
0,1,0,1,1935
1,2,1,2,1989
0,1,0,2,1965
1,2,1,1,1992
1,3,1,2,1961
1,1,1,2,1986
0,3,1,2,1990
0,2,0,1,1973
1,1,1,2,1990
1,3,1,2,1982
1,2,1,1,1989
1,3,1,2,1975
NA,3,0,2,1962
0,3,0,1,1955
1,1,1,2,1989
1,1,1,2,1997
1,2,1,2,1989
1,2,1,2,1985
0,2,1,1,1963
0,3,0,2,1961
0,1,1,2,1976
1,2,1,1,1997
0,1,1,1,1966
0,3,1,2,1985
0,2,1,2,1973
1,1,0,2,1967
1,1,0,2,1975
1,3,1,2,1955
0,1,0,2,1970
0,2,1,1,1955
0,3,0,2,1957
0,2,1,2,1951
0,1,1,2,1980
0,1,1,2,1995
0,3,1,1,1954
1,2,1,1,1990
0,2,1,1,1973
1,2,0,1,1979
1,2,1,2,1957
1,2,1,1,1970
0,2,1,1,1981
1,1,1,1,1952
1,2,0,2,1992
1,1,1,2,1953
0,1,1,1,1988
1,2,1,1,1985
0,1,0,2,1977
0,3,1,2,1958
1,1,1,1,1994
0,2,1,1,1977
1,1,0,2,1978
